id,map,round,seconds,att_side,vic_side,hp_dmg,arm_dmg,wp,wp_type,award
1937,de_cache,2,219.1179,CounterTerrorist,Terrorist,32,0,P2000,Pistol,300
3564,de_cache,2,219.155,Terrorist,CounterTerrorist,5,0,Gallil,Rifle,300
27372,de_mirage,2,219.1978,CounterTerrorist,Terrorist,21,0,MP9,SMG,600
34701,de_inferno,2,219.2149,Terrorist,CounterTerrorist,15,3,P90,SMG,300
22107,de_dust2,1,219.2168,Terrorist,CounterTerrorist,16,0,UMP,SMG,600
29749,de_inferno,2,219.2568,Terrorist,CounterTerrorist,35,0,AK47,Rifle,300
29750,de_inferno,2,219.2568,CounterTerrorist,Terrorist,25,0,P2000,Pistol,300
27373,de_mirage,2,219.2603,CounterTerrorist,Terrorist,7,0,MP9,SMG,600
22108,de_dust2,1,219.3107,Terrorist,CounterTerrorist,9,3,UMP,SMG,600
39277,de_mirage,2,219.3151,Terrorist,CounterTerrorist,26,3,AK47,Rifle,300
12227,de_dust2,2,219.3326,CounterTerrorist,Terrorist,11,13,P250,Pistol,300
39278,de_mirage,2,219.3776,CounterTerrorist,Terrorist,100,5,Deagle,Pistol,300
1938,de_cache,2,219.3992,Terrorist,CounterTerrorist,27,0,FiveSeven,Pistol,300
24246,de_mirage,2,219.424,Terrorist,CounterTerrorist,14,3,UMP,SMG,600
17881,de_overpass,2,219.4765,Terrorist,CounterTerrorist,22,0,Mac10,SMG,600
24247,de_mirage,2,219.4865,Terrorist,CounterTerrorist,10,4,UMP,SMG,600
27971,de_dust2,2,219.5063,Terrorist,CounterTerrorist,58,0,MP7,SMG,600
29751,de_inferno,2,219.5693,Terrorist,CounterTerrorist,35,0,AK47,Rifle,300
37882,de_train,2,219.645,CounterTerrorist,Terrorist,17,8,USP,Pistol,300
15411,de_mirage,2,219.7548,Terrorist,CounterTerrorist,100,16,AK47,Rifle,300
48760,de_austria,2,219.7564,CounterTerrorist,Terrorist,15,0,MP7,SMG,600
47925,de_cache,2,219.7868,Terrorist,Terrorist,9,0,Tec9,Pistol,300
29752,de_inferno,2,219.7881,CounterTerrorist,Terrorist,17,8,USP,Pistol,300
18907,de_cache,2,219.8046,CounterTerrorist,Terrorist,21,10,USP,Pistol,300
48761,de_austria,2,219.9128,CounterTerrorist,Terrorist,25,0,MP7,SMG,600
1939,de_cache,2,219.9305,CounterTerrorist,Terrorist,41,0,P2000,Pistol,300
34702,de_inferno,2,219.9338,Terrorist,CounterTerrorist,19,4,P90,SMG,300
24248,de_mirage,2,219.9553,CounterTerrorist,CounterTerrorist,6,0,Glock,Pistol,300
44823,de_mirage,2,219.9612,CounterTerrorist,Terrorist,24,3,P250,Pistol,300
48762,de_austria,2,219.9753,CounterTerrorist,Terrorist,25,0,MP7,SMG,600
29753,de_inferno,2,219.9756,Terrorist,CounterTerrorist,30,0,AK47,Rifle,300
18908,de_cache,2,219.9921,CounterTerrorist,Terrorist,17,8,USP,Pistol,300
17882,de_overpass,2,220.008,CounterTerrorist,Terrorist,23,3,P250,Pistol,300
24249,de_mirage,2,220.0491,CounterTerrorist,Terrorist,27,0,P250,Pistol,300
33902,de_dust2,1,220.0568,Terrorist,CounterTerrorist,25,0,P250,Pistol,300
17883,de_overpass,2,220.1018,CounterTerrorist,Terrorist,10,3,HE,Grenade,300
34703,de_inferno,2,220.1213,Terrorist,CounterTerrorist,15,3,P90,SMG,300
48763,de_austria,2,220.163,CounterTerrorist,Terrorist,20,0,MP7,SMG,600
33903,de_dust2,1,220.3068,Terrorist,CounterTerrorist,32,0,P250,Pistol,300
17884,de_overpass,2,220.3206,Terrorist,CounterTerrorist,29,0,Mac10,SMG,600
29754,de_inferno,2,220.3507,CounterTerrorist,Terrorist,3,8,USP,Pistol,300
34704,de_inferno,2,220.4027,Terrorist,CounterTerrorist,15,3,P90,SMG,300
29755,de_inferno,2,220.4445,Terrorist,CounterTerrorist,44,0,AK47,Rifle,300
22705,de_cache,2,220.4706,Terrorist,CounterTerrorist,100,15,AK47,Rifle,300
43259,de_dust2,2,220.6114,Terrorist,CounterTerrorist,1,0,HE,Grenade,300
44824,de_mirage,2,220.6487,CounterTerrorist,Terrorist,19,2,P250,Pistol,300
33904,de_dust2,1,220.6506,CounterTerrorist,Terrorist,100,0,USP,Pistol,300
34705,de_inferno,2,220.684,Terrorist,CounterTerrorist,15,3,P90,SMG,300
29756,de_inferno,2,220.757,Terrorist,CounterTerrorist,35,0,AK47,Rifle,300
34706,de_inferno,2,220.8403,Terrorist,CounterTerrorist,15,3,P90,SMG,300
29757,de_inferno,2,220.8508,Terrorist,CounterTerrorist,21,0,AK47,Rifle,300
34707,de_inferno,2,220.9028,Terrorist,CounterTerrorist,6,3,P90,SMG,300
12228,de_dust2,2,220.989,CounterTerrorist,Terrorist,25,3,P250,Pistol,300
44825,de_mirage,2,221.2113,CounterTerrorist,Terrorist,19,2,P250,Pistol,300
44826,de_mirage,2,221.2113,Terrorist,CounterTerrorist,28,4,Gallil,Rifle,300
17885,de_overpass,2,221.2273,Terrorist,CounterTerrorist,38,0,UMP,SMG,600
12229,de_dust2,2,221.3015,CounterTerrorist,Terrorist,25,3,P250,Pistol,300
17886,de_overpass,2,221.3211,Terrorist,CounterTerrorist,23,0,UMP,SMG,600
21090,de_dust2,2,221.3238,Terrorist,CounterTerrorist,12,7,Glock,Pistol,300
44827,de_mirage,2,221.3676,CounterTerrorist,Terrorist,19,2,P250,Pistol,300
29758,de_inferno,2,221.4134,Terrorist,CounterTerrorist,29,0,Mac10,SMG,600
44828,de_mirage,2,221.4926,Terrorist,CounterTerrorist,22,3,Gallil,Rifle,300
17887,de_overpass,2,221.5087,Terrorist,CounterTerrorist,10,0,UMP,SMG,600
